AID	CLUSTER2	GSWGT1
90570398	1.48	3803.6
90570412	1.45	3354.01
90570531	1.47	3346.39
90570536	1.47	3497.12
90570582	1.43	1112.45
90570626	1.41	2965.8
90570628	1.41	1398.19
90570655	1.42	320.75
90570697	1.48	4641.22
90570720	1.41	1880.67
90570725	1.41	1743.07
90570778	1.5	4557.61
90570820	1.41	3618.91
90570892	1.48	3566.72
90570992	1.48	3803.6
90571004	1.36	2566.44
90571006	1.36	1729.45
90571069	1.34	3834.65
90571074	1.4	5783.59
90571103	1.36	2063.16
90571107	1.36	2027.37
90571171	1.4	357.28
90571203	1.36	1980.54
90571208	1.36	2566.44
90571210	1.35	4183.26
90571211	1.35	2870.68
90571214	1.35	2430.7
90571217	1.35	2586.52
90571276	1.4	1745.84
90571315	1.35	2870.68
90571319	1.35	2180.37
90571401	1.36	1902.86
90571402	1.36	2190.55
90571408	1.36	1076.8
90571418	1.35	2430.7
90571461	1.34	3548.91
90571462	1.34	3548.91
90571471	1.4	620.43
90571472	1.4	1555.62
90571506	1.36	1323.09
90571805	1.36	2027.37
90571807	1.36	2566.44
90571816	1.35	2586.52
90571861	1.34	4821.83
90571907	1.36	2063.16
90571913	1.35	2434.09
90571914	1.35	2914.61
90571971	1.4	2112.63
90571979	1.4	620.43
90572007	1.16	3839.36
90572049	1.19	5412.77
90572060	1.14	3462.31
90572070	1.2	4273.79
90572141	1.19	3345.36
90572147	1.19	5412.77
90572169	1.14	4002.16
90572172	1.2	2896.21
90572177	1.2	3818.02
90572192	1.18	2318.56
90572198	1.18	1627.36
90572209	1.16	4766.65
90572213	1.15	3031.73
90572221	1.11	2011.57
90572223	1.11	2498.22
90572228	1.11	1339.73
90572265	1.14	3833.26
90572268	1.14	3643.93
90572269	1.14	3226.86
90572280	1.13	731.72
90572282	1.13	609.18
90572283	1.13	731.72
90572285	1.13	609.18
90572293	1.18	2758.37
90572303	1.16	3839.36
90572323	1.11	1393.35
90572325	1.11	2011.57
90572341	1.19	4171.05
90572369	1.14	2901.57
90572383	1.13	693.79
