AID	CLUSTER2	GSWGT1
91575302	1.26	2353.84
91575307	1.26	2172.84
91575315	1.25	2443.01
91575317	1.25	3547.85
91575358	1.22	2932.43
91575361	1.24	3911.26
91575365	1.24	3115.32
91575369	1.24	3350.22
91575370	1.3	2730.83
91575387	1.23	1298.1
91575391	1.28	2491.25
91575394	1.28	2664.6
91575408	1.26	2391.79
91575420	1.21	4352.95
91575432	1.27	3271.19
91575477	1.3	3271.67
91575522	1.21	5681.18
91575523	1.21	3838.39
91575602	1.26	2681.65
91575604	1.26	2353.84
91575607	1.26	3244.2
91575609	1.26	2367.72
91575626	1.21	2938.58
91575627	1.21	1120.57
91575628	1.21	1851.29
91575726	1.21	1120.57
91575839	1.27	2390.05
91575911	1.25	3547.85
91575916	1.25	4250.25
91575930	1.27	2768.92
91575931	1.27	2219.94
91575940	1.29	1047.42
91575943	1.29	903.05
91575948	1.29	1223.43
91575949	1.29	645.9
91575956	1.22	4444.63
91575961	1.24	3286.99
91575966	1.24	3747.77
91575970	1.3	5411.94
91575992	1.28	2108.74
91576088	1.73	4032.84
91576114	1.75	4080.54
91576129	1.71	2810.43
91576138	1.77	2952.61
91576154	1.72	3450.7
91576163	1.74	2675.37
91576199	1.78	442.51
91576219	1.75	3474.47
91576240	1.79	1691.16
91576243	1.79	1440.88
91576261	1.74	2438.84
91576270	1.8	4097.83
91576274	1.8	3332.17
91576300	1.76	3145.51
91576363	1.74	2901.48
91576460	1.74	2675.37
91576509	1.76	2914.11
91576537	1.77	2811.92
91576556	1.72	3314.49
91576561	1.74	2901.48
91576566	1.74	2438.84
91576567	1.74	3418.91
91576576	1.8	3731.07
91576611	1.75	2628.77
91576634	1.77	2811.92
91576651	1.72	852.79
91576674	1.8	5091.92
91576748	1.79	1952.92
91576757	1.72	3814.02
91576765	1.74	3336.28
91576910	1.75	2673.69
91576919	1.75	2577.01
91576934	1.77	2952.61
91577121	1.91	2379.23
91577122	1.91	855.18
91577126	1.91	1308.28
91577183	1.93	2702.52
91577221	1.91	2492.18
91577226	1.91	2260.99
91577227	1.91	1705.94
91577254	1.92	3594.71
91577256	1.92	3333.18
91577268	1.94	4256.84
91577284	1.93	3464.99
91577311	1.95	4763.7
91577313	1.95	4173.83
91577319	1.95	4763.7
91577322	1.91	757.57
91577324	1.91	941.36
91577328	1.91	770.96
91577414	1.95	4578.81
91577487	1.93	3108.63
91577557	1.92	2824.45
91577588	1.93	3464.99
91577589	1.93	4601.06
91577613	1.95	4746.04
91577786	1.93	3464.99
91577922	1.91	855.18
91577923	1.91	757.57
91577957	1.92	3172.27
91577962	1.94	5471.91
91577969	1.94	4465.41
91578026	1.51	3476.69
91578027	1.51	5422.39
91578060	1.54	5213.59
91578074	1.6	18360.65
91578087	1.53	4584.22
91578089	1.53	1045.89
91578107	1.56	2989.8
91578108	1.56	1110.28
91578116	1.55	2276.88
91578140	1.59	4312.88
91578165	1.54	2782.63
91578193	1.58	3285.19
91578197	1.58	3103.68
91578213	1.55	3515.29
91578267	1.54	1805.21
91578268	1.54	2782.63
91578287	1.53	729.53
91578297	1.58	5165.61
91578305	1.56	2989.8
91578314	1.55	2276.88
91578315	1.55	3093.39
91578318	1.55	2276.88
91578342	1.59	4845.47
91578446	1.59	5987.6
91578466	1.54	526.31
91578491	1.58	3285.19
91578495	1.58	3285.19
91578510	1.55	5767.74
91578526	1.51	5210.44
91578538	1.57	2725.66
91578540	1.59	4438.38
91578584	1.53	925.83
91578587	1.53	883.09
91578605	1.56	1044.11
91578702	1.56	3708.08
91578740	1.59	4438.38
91578747	1.59	4845.47
91578801	1.56	3684.96
91578863	1.54	462.97
91578892	1.58	3495.68
91578898	1.58	3103.68
91578917	1.55	5162.93
91578999	1.58	5165.61
91579175	1.1	5214.17
91579230	1.07	2778.89
91579234	1.07	2585.39
91579235	1.07	2226.83
91579237	1.07	2460.95
91579241	1.09	2539.76
91579242	1.09	1824.01
91579243	1.09	2029
91579245	1.09	1965.67
91579246	1.09	2442.56
91579248	1.09	2539.76
91579257	1.02	6687.75
91579258	1.02	8033.48
91579272	1.1	2457.52
91579296	1.08	3166.45
91579335	1.07	2778.89
91579339	1.07	3318.29
91579932	1.07	2605.08
91579936	1.07	2605.08
91579939	1.07	2427.15
91579940	1.09	2029
91579942	1.09	2442.56
91579946	1.09	2000.42
91579961	1.04	2598.42
91579962	1.04	1993.86
91579964	1.04	2096.83
91579967	1.04	2652.3
91579968	1.04	2340.4
91579970	1.1	6830.8
91579980	1.03	3098.39
91579987	1.03	3839.19
91579992	1.08	3027.3
91579993	1.08	3761.75
91579994	1.08	2829.35
91579995	1.08	3080.82
91579997	1.08	3027.3
91608077	3.6	4536.55
91608475	3.6	4656.71
91608476	3.6	3863.6
91614079	3.7	4589.76
91614279	3.7	2786
91614578	3.7	2786
91614772	3.7	2786
91614777	3.7	3672.31
91614874	3.7	3287.26
91614974	3.7	3672.31
91614978	3.7	3711.49
91619061	3.04	4642.8
91619063	3.04	4641.77
91619064	3.04	5314.58
91619169	3.04	5157.73
91619268	3.04	2662.35
91619467	3.04	5178.3
91619660	3.04	6460.64
91619665	3.04	5157.73
91619860	3.04	6424.63
91619862	3.04	6460.64
91624978	3.7	3287.26
91646122	3.71	4246.14
91646126	3.71	2832.61
91676253	3.72	3210.59
91676357	3.72	2051.73
91676456	3.72	3176.3
91676522	3.71	3095.72
91676652	3.72	2750.72
91676656	3.72	2750.72
91676958	3.72	3968.75
91678173	3.6	4063.41
91678373	3.6	4595.15
91678473	3.6	4536.55
91678572	3.6	882.13
91678674	3.6	3250.46
91710018	2.45	4454.5
91710037	2.47	4628.18
91710130	2.47	4953.17
91710173	2.5	6138.46
91710183	2.43	2583.08
91710214	2.45	2470.51
91710232	2.47	5431.51
91710252	2.42	3085.59
91710287	2.43	1073
91710293	2.48	4126.94
91710339	2.47	4628.18
91710454	2.42	5944.53
91710485	2.43	2583.08
91710652	2.42	4546.68
91710655	2.42	5879.87
91710852	2.42	4299.11
91710915	2.45	6093.35
91710973	2.5	6138.46
91710996	2.48	4225.37
91710998	2.48	4225.37
91711065	2.34	3396.21
91711167	2.34	6517.63
91711277	2.4	4137.01
91711371	2.4	564.57
91711476	2.4	5921.07
91711865	2.34	4390.36
91712211	2.15	4920.55
91712217	2.15	3394.8
91712273	2.2	2542.11
91712274	2.2	5390.29
91712298	2.18	3699.52
91712314	2.15	5583.85
91712371	2.2	2822.36
91712372	2.2	2310.49
91712375	2.2	1117.72
91712378	2.2	3932.37
91712842	2.19	4736.11
91712901	2.16	17855.82
91712902	2.16	16097.35
91712905	2.16	17458.5
91712908	2.16	17855.82
91712909	2.16	17855.82
91712918	2.15	3394.8
91712946	2.19	6322.35
91712998	2.18	2851.85
91713006	2.86	5723.32
91713031	2.87	4236.61
91713039	2.87	4694.84
91713106	2.86	571.18
91713190	2.88	3892.53
91713192	2.88	4471.2
91713298	2.88	4471.2
91713604	2.86	571.18
91713997	2.88	1852.28
91713998	2.88	3960.87
91714043	2.69	4333.12
91714046	2.69	4333.12
91714099	2.68	4676.09
91714128	2.61	5297.93
91714144	2.69	4639.25
91714212	2.65	3918.31
91714231	2.67	6592.68
91714235	2.67	2937.03
91714237	2.67	3150.99
91714241	2.69	4333.12
91714326	2.61	5137.23
91714332	2.67	5100.29
91714335	2.67	2937.03
91714338	2.67	3376.26
91714913	2.65	7879.81
91714928	2.61	5137.23
91714938	2.67	4704.11
91714987	2.63	4616.99
91715064	2.24	6268.13
91715124	2.21	987.58
91715256	2.22	3423.33
91715280	2.23	4485.28
91715282	2.23	4485.28
91715286	2.23	3689.11
91715365	2.24	5457.12
91715395	2.28	1755
91715828	2.21	987.58
91715892	2.28	4221.15
91715920	2.21	3860.84
91715921	2.21	1209.64
91715927	2.21	1209.64
91715930	2.27	5773.31
91715936	2.27	6079.86
91715952	2.22	2800.29
91715958	2.22	2800.29
91715983	2.23	4485.28
91715984	2.23	2238.8
91715991	2.28	539.87
91716012	2.75	3673.7
91716018	2.75	4709.64
91716080	2.73	5303.54
91716082	2.73	6064.84
91716092	2.78	4245.96
91716096	2.78	1928.27
91716098	2.78	4245.96
91716116	2.75	3673.7
91716136	2.77	3425.06
91716158	2.72	2611
91716161	2.74	2846.17
91716197	2.78	857.1
91716275	2.8	477.96
91716281	2.73	4920.05
91716288	2.73	5124.74
91716321	2.71	3531.57
91716396	2.78	857.1
91716484	2.73	4920.05
91716621	2.71	2338.53
91716890	2.78	2734.24
91716901	2.76	3713.51
91716902	2.76	3431.5
91716903	2.76	3431.5
91716908	2.76	3713.51
91716924	2.71	4096.13
91716952	2.72	2611
91716957	2.72	3451.1
91717055	2.92	914.69
91717067	2.94	5096.05
91717169	2.94	3694.87
91717853	2.92	5917.47
91717858	2.92	5917.47
91717862	2.94	4438.4
91717865	2.94	4438.4
91717910	2.95	4739.63
91717912	2.95	4739.63
91717916	2.95	5258.13
91717918	2.95	4739.63
91718001	2.56	2930.76
91718003	2.56	2738.74
91718004	2.56	2464.28
91718025	2.51	1044.76
91718073	2.6	5394.33
91718077	2.6	6042.85
91718080	2.53	3410.26
91718081	2.53	802.16
91718085	2.53	3410.26
91718105	2.56	814.03
91718109	2.56	814.03
91718142	2.59	5284.13
91718174	2.6	5394.33
91718195	2.58	5667.14
91718209	2.56	1006.35
91718218	2.55	3956.29
91718287	2.53	957.2
91718294	2.58	4937.22
91718302	2.56	1006.35
91718320	2.51	3244.26
91718361	2.54	3231.67
91718368	2.54	5113.74
91718379	2.6	6042.85
91718844	2.59	5284.13
91718886	2.53	644.37
91718908	2.56	2603.16
91718916	2.55	3819.49
91718949	2.59	5471.82
91718960	2.54	2923.29
91718969	2.54	1195.91
91718978	2.6	5618.76
91719273	2.1	12009.6
91719375	2.1	5603.13
91719930	2.07	1508.61
91719931	2.07	1695.11
91719932	2.07	1526.04
91719934	2.07	1508.61
91719936	2.07	1713.82
91719937	2.07	1225.81
92316359	4.72	3663.66
92316856	4.72	3663.66
92374970	4.7	2250.11
92374975	4.7	2495.91
92374978	4.7	2440.37
92374979	4.7	2495.91
92500037	1.47	4638.13
92500081	1.43	3646.43
92500086	1.43	878.01
92500119	1.45	5696.64
92500175	1.5	3668.3
92500184	1.43	752.39
92500219	1.45	3354.01
92500386	1.43	752.39
92500618	1.45	4606.14
92500739	1.47	4638.13
92500914	1.45	4606.14
92500951	1.42	3325.33
92500970	1.5	4557.61
92500982	1.43	3961.87
92500984	1.43	4659.84
92501253	1.32	6493.49
92503208	1.86	3191.47
92503233	1.87	3119.66
92503331	1.87	3119.66
92504085	1.63	5901.99
92504100	1.66	924.79
92504229	1.61	5770.63
92504284	1.63	5360.35
92504321	1.61	1098.5
92504421	1.61	5961.31
92504722	1.61	5961.31
92504827	1.61	5961.31
92504901	1.66	5547.62
92504942	1.69	5633.27
92506022	1.71	3037.89
92506287	1.73	4032.84
92506525	1.71	2810.43
92506687	1.73	4057.09
92506844	1.79	1775.13
92506889	1.73	3057.21
92506942	1.79	1695.3
92506951	1.72	4311.01
92506966	1.74	2667.17
92506983	1.73	4057.09
92506993	1.78	4496.01
92506995	1.78	442.51
92507858	1.92	2824.45
92507952	1.92	4103.59
92507983	1.93	2702.52
92508164	1.54	1805.21
92508223	1.51	4410.42
92508275	1.6	13034.79
92508286	1.53	5124.66
92508530	1.57	543.37
92508625	1.51	3127.5
92508726	1.51	3476.69
92508934	1.57	3513.43
92508975	1.6	10641.43
92540117	1.45	3354.01
92540152	1.42	3722.91
92540351	1.42	3576.54
92540559	1.42	3385.85
92540654	1.42	3450.62
92543208	1.86	3509.08
92544906	1.66	3504.56
92546073	1.8	3719.38
92546995	1.78	3588.13
92570084	1.43	752.39
92570086	1.43	3961.87
92570188	1.43	662.04
92570236	1.47	3346.39
92570282	1.43	4659.84
92570284	1.43	3646.43
92570396	1.48	4985.15
92570411	1.45	3487.09
92570577	1.5	4848.72
92570629	1.41	678.98
92570676	1.5	5380.25
92570678	1.5	4848.72
92570698	1.48	4985.15
92570722	1.41	1270.64
92570821	1.41	1635.11
92570856	1.42	3325.33
92570879	1.5	5380.25
92570975	1.5	3828.84
92570978	1.5	3436.16
92571001	1.36	2190.55
92571003	1.36	1323.09
92571017	1.35	2214.36
92571019	1.35	2180.37
92571052	1.32	6493.49
92571069	1.34	4821.83
92571075	1.4	1316.77
92571106	1.36	2027.37
92571108	1.36	2566.44
92571175	1.4	1327.41
92571200	1.36	1302.08
92571208	1.36	1668.33
92571270	1.4	1097.18
92571271	1.4	4257.17
92571273	1.4	3949.32
92571311	1.35	2180.37
92571316	1.35	4183.26
92571372	1.4	973.17
92571374	1.4	4540.25
92571476	1.4	1427.36
92571664	1.34	3655.46
92571709	1.36	2480.78
92571801	1.36	2027.37
92571819	1.35	3287.95
92571867	1.34	6660.68
92572061	1.14	2901.57
92572101	1.16	7013.47
92572104	1.16	7013.47
92572106	1.16	3839.36
92572108	1.16	4242.6
92572119	1.15	4070.46
92572162	1.14	3226.86
92572168	1.14	3786.96
92572169	1.14	4002.16
92572171	1.2	5864.01
92572192	1.18	2506.01
92572203	1.16	4766.65
92572209	1.16	3898.17
92572217	1.15	4070.46
92572219	1.15	3400.52
92572223	1.11	1393.35
92572224	1.11	1393.35
92572226	1.11	900.07
92572229	1.11	2498.22
92572242	1.19	4357.93
92572260	1.14	3786.96
92572266	1.14	4002.16
92572267	1.14	5083.95
92572283	1.13	694.36
92572290	1.18	2506.01
92572292	1.18	1586.16
92572298	1.18	2819.45
92572300	1.16	3898.17
92572314	1.15	3031.73
92572317	1.15	3400.52
92572321	1.11	1078.16
92572323	1.11	1971.45
92572324	1.11	3779.1
92572345	1.19	3345.36
92572348	1.19	3981.58
92572361	1.14	2901.57
92572382	1.13	694.36
92572383	1.13	494.37
92572388	1.13	1146.16
92572390	1.18	2318.56
92572397	1.18	1627.36
92572408	1.16	3735.94
92572444	1.19	4258.76
92572468	1.14	3833.26
92572648	1.19	4717.81
92572665	1.14	3786.96
92572669	1.14	4002.16
92572802	1.16	4766.65
92572803	1.16	3684.97
92572842	1.19	3345.36
92572864	1.14	3643.93
92572872	1.2	2896.21
92572906	1.16	4242.6
92572916	1.15	3512.93
92572918	1.15	3845.59
92572919	1.15	3691.07
92572922	1.11	1078.16
92572924	1.11	1045.16
92572963	1.14	3462.31
92572983	1.13	1464.43
92572986	1.13	1146.16
92572989	1.13	1504.24
92573004	1.86	3509.08
92573010	1.85	3048.35
92573096	1.88	3384.72
92573118	1.85	1435.93
92573136	1.87	3666.93
92573194	1.88	3532.37
92573211	1.85	3210.21
92573232	1.87	543.09
92573311	1.85	1799.06
92573316	1.85	2110.47
92573497	1.88	3532.37
92573499	1.88	4564.86
92573531	1.87	3134.3
92573610	1.85	3048.35
92573690	1.88	7085.33
92573691	1.88	4072.59
92573693	1.88	4040.43
92573697	1.88	4224.91
92573816	1.85	2063.13
92573818	1.85	2008.84
92573831	1.87	3684.57
92573916	1.85	1662.9
92573917	1.85	3048.35
92573942	1.89	2681.51
92573943	1.89	2773.58
92573945	1.89	2436.02
92573946	1.89	1991.93
92573955	1.82	2921.45
92573956	1.82	2671.27
92573958	1.82	2610.26
92573959	1.82	3553.42
92574010	1.65	2256.53
92574018	1.65	3982.96
92574090	1.68	1467.45
92574200	1.66	516.11
92574302	1.66	5547.62
92574314	1.65	2251.85
92574316	1.65	3195.6
92574390	1.68	5985.05
92574614	1.65	2481.43
92574633	1.67	1300.73
92574700	1.66	5019.16
92574701	1.66	711.08
92574703	1.66	3692.64
92574739	1.67	3676.49
92574794	1.68	886.22
92574808	1.66	3923.06
92574810	1.65	1057.18
92575005	1.26	1915.93
92575015	1.25	3583.93
92575017	1.25	4163.67
92575023	1.21	4424.35
92575033	1.27	2303.83
92575076	1.3	3271.67
92575095	1.28	2720.65
92575103	1.26	2599.74
92575120	1.21	1302.24
92575121	1.21	4424.35
92575154	1.22	2216.24
92575180	1.23	4501.83
92575201	1.26	2367.72
92575208	1.26	1915.93
92575213	1.25	4163.67
92575217	1.25	4163.67
92575222	1.21	2156.87
92575231	1.27	1602.31
92575237	1.27	2900.7
92575240	1.29	726.98
92575244	1.29	740.57
92575246	1.29	1528.8
92575247	1.29	1201.2
92575248	1.29	903.05
92575249	1.29	645.9
92575259	1.22	4644.58
92575263	1.24	3749.27
92575292	1.28	2948.83
92575297	1.28	2491.25
92575324	1.21	2156.87
92575326	1.21	1683.71
92575350	1.22	2932.43
92575351	1.22	4644.58
92575364	1.24	3115.32
92575373	1.3	665.18
92575381	1.23	2977.91
92575395	1.28	2296.43
92575400	1.26	2391.79
92575407	1.26	2391.79
92575420	1.21	4424.35
92575421	1.21	3838.39
92575434	1.27	2768.92
92575526	1.21	1400.37
92575627	1.21	1058.72
92575771	1.3	4065.38
92575807	1.26	2353.84
92575827	1.21	4850.47
92575868	1.24	3350.22
92575900	1.26	1915.93
92575905	1.26	2172.84
92575907	1.26	2172.84
92575911	1.25	2957.77
92575916	1.25	2442.46
92575935	1.27	2717.84
92575939	1.27	2303.83
92575941	1.29	1093.11
92575944	1.29	798.43
92575951	1.22	3839.42
92575959	1.22	2123.6
92575971	1.3	921.79
92575974	1.3	4065.38
92575990	1.28	1443.93
92575992	1.28	1205.63
92575995	1.28	2806.12
92575999	1.28	1895.91
92576011	1.75	3474.47
92576033	1.77	2952.61
92576037	1.77	2985.49
92576040	1.79	1562.55
92576122	1.71	3706.65
92576182	1.73	7072.93
92576248	1.79	2059.82
92576288	1.73	7072.93
92576312	1.75	3474.47
92576328	1.71	2177.18
92576353	1.72	735.03
92576439	1.77	3131.25
92576472	1.8	416.48
92576476	1.8	3253.74
92576493	1.78	2806.88
92576499	1.78	311.18
92576504	1.76	2914.11
92576516	1.75	3474.47
92576531	1.77	2694.38
92576533	1.77	2985.49
92576555	1.72	4130.81
92576556	1.72	2768.56
92576606	1.76	2467.41
92576611	1.75	2673.69
92576693	1.78	362.3
92576694	1.78	3998.38
92576774	1.8	3785.2
92576857	1.72	4528.68
92576865	1.74	1995.53
92576937	1.77	2918.47
92576939	1.77	2862.75
92576940	1.79	1952.92
92576950	1.72	4311.01
92576984	1.73	3558.34
92577013	1.95	7020.76
92577065	1.94	4256.84
92577112	1.95	4578.81
92577127	1.91	1308.28
92577129	1.91	1499.57
92577156	1.92	3333.18
92577160	1.94	4465.41
92577161	1.94	3112.42
92577217	1.95	4746.04
92577252	1.92	3018.85
92577326	1.91	941.36
92577368	1.94	4256.84
92577514	1.95	4763.7
92577581	1.93	3830.24
92577582	1.93	3464.99
92577617	1.95	4173.83
92577787	1.93	3497.96
92577864	1.94	4937.68
92577917	1.95	4123.86
92577918	1.95	4173.83
92577920	1.91	770.96
92577927	1.91	1387.53
92577929	1.91	1308.28
92577982	1.93	3710.11
92577987	1.93	2960.88
92578034	1.57	3164.55
92578042	1.59	4438.38
92578067	1.54	3977.42
92578108	1.56	3588.63
92578161	1.54	2814.18
92578227	1.51	3127.5
92578280	1.53	925.83
92578283	1.53	791.56
92578310	1.55	4245.5
92578387	1.53	2572.87
92578411	1.55	3525.68
92578423	1.51	657.92
92578428	1.51	790.11
92578515	1.55	3378.31
92578517	1.55	1658.32
92578545	1.59	5313.05
92578562	1.54	3977.42
92578580	1.53	3453.91
92578586	1.53	729.53
92578589	1.53	2572.87
92578615	1.55	3093.39
92578667	1.54	2733.04
92578684	1.53	729.53
92578722	1.51	974.45
92578783	1.53	925.83
92578846	1.59	4374.33
92578860	1.54	2782.63
92578889	1.53	925.83
92578899	1.58	2827.77
92578902	1.56	3684.96
92578907	1.56	2576.28
92578930	1.57	3436.3
92578935	1.57	2725.66
92578969	1.54	2814.18
92578984	1.53	2967.08
92578995	1.58	3285.19
92579171	1.1	2457.52
92579175	1.1	7329.18
92579179	1.1	6830.8
92579232	1.07	2064.29
92579235	1.07	2605.08
92579238	1.07	2778.89
92579261	1.04	2495.77
92579267	1.04	2652.3
92579268	1.04	2091.1
92579290	1.08	3388.22
92579291	1.08	2139.87
92579292	1.08	3035.6
92579297	1.08	3388.22
92579299	1.08	2375.17
92579335	1.07	2250.55
92579371	1.1	5382.71
92579376	1.1	5214.17
92579934	1.07	2631.66
92579935	1.07	2226.83
92579937	1.07	4701.41
92579942	1.09	2000.42
92579943	1.09	2442.56
92579949	1.09	2024.57
92579960	1.04	1993.86
92579962	1.04	2598.42
92579963	1.04	2495.77
92579965	1.04	2091.1
92579968	1.04	2495.77
92579970	1.1	6830.8
92579979	1.1	7329.18
92579982	1.03	3400.98
92579984	1.03	3461.1
92579985	1.03	3461.1
92579987	1.03	3446.6
92579991	1.08	3080.82
92579992	1.08	3166.45
92579993	1.08	2380.37
92579994	1.08	3027.3
92579996	1.08	2979.58
92579998	1.08	3388.22
92593002	1.86	2682.53
92606325	3.71	3282.91
92606627	3.71	3283.41
92608078	3.6	4344.82
92608972	3.6	4063.41
92614170	3.7	4589.76
92614372	3.7	3100.27
92614975	3.7	4317.34
92619165	3.04	6460.64
92619168	3.04	6460.64
92619265	3.04	3936.25
92619366	3.04	5157.73
92619368	3.04	5627.18
92619869	3.04	3936.25
92619969	3.04	3276.66
92624977	3.7	4317.34
92676153	3.72	2434.53
92676351	3.72	2434.53
92676356	3.72	2750.72
92676421	3.71	369.12
92676457	3.72	2750.72
92676556	3.72	2750.72
92678179	3.6	4344.82
92678476	3.6	4364.49
92710091	2.48	4389.37
92710098	2.48	4400.12
92710111	2.45	6093.35
92710191	2.48	4225.37
92710199	2.48	4126.94
92710210	2.45	6093.35
92710253	2.42	4299.11
92710291	2.48	4225.37
92710357	2.42	4546.68
92710392	2.48	4126.94
92710398	2.48	4126.94
92710581	2.43	3768.3
92710916	2.45	4496.23
92710936	2.47	4628.18
92710999	2.48	4389.37
92711067	2.34	6517.63
92711076	2.4	2852.34
92711969	2.34	861.53
92711974	2.4	4519.55
92712044	2.19	6036.9
92712148	2.19	8983.08
92712211	2.15	5226.81
92712217	2.15	3394.8
92712242	2.19	6036.9
92712276	2.2	2542.11
92712346	2.19	6036.9
92712374	2.2	6325.54
92712391	2.18	2636.15
92712396	2.18	2636.15
92712919	2.15	5226.81
92712993	2.18	3233.01
92712996	2.18	2851.85
92712998	2.18	2851.85
92713030	2.87	815.52
92713035	2.87	2142.78
92713130	2.87	3913.67
92713132	2.87	4694.84
92713191	2.88	3960.87
92713198	2.88	4471.2
92713293	2.88	3960.87
92713391	2.88	3892.53
92713399	2.88	4321.28
92713701	2.86	3612.05
92713905	2.86	4365.64
92713936	2.87	4694.84
92713939	2.87	4694.84
92714049	2.69	4333.12
92714112	2.65	7879.81
92714124	2.61	5297.93
92714199	2.68	6150.56
92714212	2.65	7879.81
92714214	2.65	10780.85
92714249	2.69	4639.25
92714330	2.67	5100.29
92714331	2.67	1416.16
92714687	2.63	5039.48
92714880	2.63	5877.25
92714895	2.68	1044.45
92714917	2.65	8738.52
92714927	2.61	6131.34
92714932	2.67	2027.97
92714942	2.69	4639.25
92714984	2.63	1221.99
92715121	2.21	987.58
92715259	2.22	2800.29
92715321	2.21	987.58
92715352	2.22	1042.11
92715357	2.22	2800.29
92715399	2.28	3597.49
92715896	2.28	4094.34
92715931	2.27	6317.64
92715932	2.27	6317.64
92715934	2.27	7007.78
92715935	2.27	7007.78
92715936	2.27	5773.31
92715953	2.22	1535.3
92715956	2.22	1712.06
92715980	2.23	3689.11
92715984	2.23	3476
92715985	2.23	3476
92715998	2.28	4221.15
92716069	2.74	2846.17
92716164	2.74	2975.74
92716167	2.74	3105.89
92716288	2.73	5303.54
92716313	2.75	3886.36
92716332	2.77	3425.06
92716333	2.77	4802.51
92716339	2.77	4176.75
92716353	2.72	2849.42
92716360	2.74	3105.89
92716390	2.78	2679.67
92716883	2.73	5124.74
92716897	2.78	2922.96
92716901	2.76	3347.8
92716902	2.76	3347.8
92716903	2.76	3258.48
92716909	2.76	3431.5
92716933	2.77	4176.75
92716936	2.77	3425.06
92716971	2.8	477.96
92716976	2.8	477.96
92716978	2.8	444.66
92716985	2.73	4920.05
92717061	2.94	3480.27
92717166	2.94	1427.8
92717265	2.94	4438.4
92717368	2.94	5576.55
92717460	2.94	5266.33
92717862	2.94	896.17
92717866	2.94	2257.36
92717910	2.95	4991.29
92717911	2.95	4991.29
92717912	2.95	5258.13
92717915	2.95	5258.13
92717916	2.95	4739.63
92717917	2.95	4991.29
92717918	2.95	4991.29
92718020	2.51	6499.42
92718027	2.51	4664.81
92718100	2.56	1197.53
92718114	2.55	5682.09
92718115	2.55	2568.03
92718126	2.51	3869.58
92718190	2.58	5667.14
92718200	2.56	2603.16
92718265	2.54	2923.29
92718269	2.54	3227.33
92718307	2.56	814.03
92718324	2.51	861.99
92718344	2.59	5284.13
92718361	2.54	3231.67
92718370	2.6	5394.33
92718374	2.6	5394.33
92718390	2.58	3379.4
92718489	2.53	644.37
92718906	2.56	1006.35
92718922	2.51	7568.73
92718925	2.51	3588.07
92718929	2.51	6499.42
92718945	2.59	4202.46
92718978	2.6	5618.76
92719277	2.1	10748.06
92719934	2.07	1695.11
92719936	2.07	1713.82
92719939	2.07	1711.39
92719970	2.1	8119.32
92719971	2.1	5603.13
92719975	2.1	8119.32
92719979	2.1	10748.06
93316052	4.72	3663.66
93316251	4.72	3663.66
93316956	4.72	3734.7
93374970	4.7	2440.37
93374973	4.7	2569.95
93374975	4.7	2250.11
93374978	4.7	2250.11
93500252	1.42	3722.91
93500356	1.42	3033.33
93500376	1.5	721.98
93500378	1.5	675.25
93500385	1.43	5945.88
93500455	1.42	313.45
93500514	1.45	4606.14
93500517	1.45	5696.64
93500815	1.45	4024.26
93500915	1.45	3939.94
93500972	1.5	4557.61
93500977	1.5	4848.72
93501258	1.32	6493.49
93503030	1.87	3134.3
93503136	1.87	3666.93
93503201	1.86	2682.53
93503507	1.86	5072.28
93503804	1.86	2915.05
93504001	1.66	601.97
93504004	1.66	396.4
93504281	1.63	5510.7
93504404	1.66	601.97
93504600	1.66	3505.35
93504605	1.66	1222.67
93504704	1.66	711.08
93504823	1.61	5264.06
93504990	1.68	4468.39
93504993	1.68	3903.75
93506053	1.72	735.03
93506129	1.71	2785.92
93506147	1.79	1562.55
93506150	1.72	4311.01
93506170	1.8	3253.74
93506222	1.71	3706.65
93506226	1.71	3706.65
93506242	1.79	1641.09
93506265	1.74	2675.37
93506273	1.8	3731.07
93506290	1.78	3588.13
93506340	1.79	1695.3
93506345	1.79	1432.42
93506487	1.73	4050.34
93506573	1.8	3332.17
93506722	1.71	3706.65
93506930	1.77	2862.75
93507256	1.92	4103.59
93507312	1.95	4123.86
93508076	1.6	13034.79
93508228	1.51	5210.44
93508270	1.6	13194.08
93508287	1.53	3236.59
93508463	1.54	3337.58
93508564	1.54	462.97
93508623	1.51	3476.69
93508767	1.54	2936.94
93508961	1.54	3337.58
93540151	1.42	3845.75
93540315	1.45	3354.01
93540958	1.42	3845.75
93544206	1.66	516.11
93544901	1.66	3923.06
93544923	1.61	5345.47
93546224	1.71	3706.65
93546470	1.8	3719.38
93546573	1.8	3349.49
93546575	1.8	2768.63
93546993	1.78	417.32
93548877	1.6	16151.11
93570022	1.41	1617.99
93570097	1.48	3803.6
93570115	1.45	3354.01
93570194	1.48	4641.22
93570198	1.48	3803.6
93570223	1.41	1417.39
93570226	1.41	1270.64
93570234	1.47	3346.39
93570292	1.48	3710.46
93570295	1.48	3113.21
93570328	1.41	1559.65
93570335	1.47	3497.12
93570375	1.5	4848.72
93570384	1.43	752.39
93570396	1.48	3710.46
93570426	1.41	3106.6
93570432	1.47	3630.92
93570513	1.45	3846.46
93570521	1.41	538.16
93570581	1.43	878.01
93570695	1.48	3607.86
93570696	1.48	2907.43
93570721	1.41	1880.67
93570776	1.5	3436.16
93570787	1.43	4006.94
93570828	1.41	1513.46
