AID	CLUSTER2	GSWGT3_2	GSWGT3
91575626	1.21	4417.69	4943.34
91575627	1.21	1684.6	1885.04
91575628	1.21	2785.23	 
91575726	1.21	1723.78	 
91575911	1.25	4654.61	5002.21
91575916	1.25	5396.81	5948.49
91575930	1.27	4451.28	 
91575931	1.27	3030.37	3319.05
91575940	1.29	1317.9	1477.89
91575943	1.29	1471.24	1546.66
91575948	1.29	1553.47	1712.27
91575949	1.29	981.94	1099.62
91575956	1.22	5861.54	6116.46
91575966	1.24	5634.19	6137.25
91575992	1.28	3389.98	 
91576088	1.73	5435.64	 
91576129	1.71	3687.15	3962.51
91576138	1.77	3986.88	4550.27
91576154	1.72	4844.94	5221.28
91576163	1.74	3397.08	3744.34
91576219	1.75	4558.34	4898.74
91576240	1.79	2175.67	2290.36
91576270	1.8	5404.18	5639.21
91576300	1.76	4293.83	4702.87
91576363	1.74	4318.43	 
91576460	1.74	3397.08	3744.34
91576537	1.77	3689.1	3964.6
91576556	1.72	4524.49	4955.51
91576561	1.74	3960.71	4338.02
91576576	1.8	5038.03	5749.96
91576611	1.75	3588.45	3930.29
91576651	1.72	1073.01	1203.27
91576674	1.8	7578.57	 
91576748	1.79	2906.63	 
91576757	1.72	4842.9	5337.96
91576910	1.75	3394.95	3741.99
91576919	1.75	3473.41	 
91576934	1.77	3986.88	4550.27
91577121	1.91	3579.51	4602.03
91577126	1.91	1725.35	1800.38
91577183	1.93	3552.97	 
91577221	1.91	3709.24	 
91577227	1.91	2303.52	 
91577256	1.92	4960.94	 
91577268	1.94	5584.77	6001.83
91577284	1.93	4865.01	5242.9
91577311	1.95	6432.38	7341.35
91577313	1.95	5299.77	5841.53
91577319	1.95	6432.38	 
91577324	1.91	1268.81	 
91577414	1.95	6171.52	 
91577557	1.92	3855.56	4222.85
91577613	1.95	6259.03	6531.24
91577786	1.93	4865.01	5242.9
91577922	1.91	988.92	1068.42
91577923	1.91	993.9	1068.12
91577957	1.92	4028.02	4439.78
91578026	1.51	4745.9	 
91578027	1.51	7113.92	7645.17
91578060	1.54	7116.89	7666.81
91578074	1.6	27327.08	 
91578089	1.53	1315.97	1475.73
91578107	1.56	4494.7	5029.51
91578116	1.55	2993.39	3301.91
91578193	1.58	4427.93	 
91578197	1.58	4093.11	4637.78
91578268	1.54	3533.27	3894.46
91578297	1.58	7688.24	 
91578314	1.55	2993.39	 
91578315	1.55	4222.67	4624.93
91578342	1.59	6803.27	7331.72
91578491	1.58	4427.93	 
91578495	1.58	4427.93	 
91578510	1.55	7788.13	8888.68
91578526	1.51	7022.87	 
91578605	1.56	1372.67	1483.82
91578740	1.59	5822.94	6257.79
91578747	1.59	6614.38	7138.9
91578801	1.56	5543.97	 
91578863	1.54	587.29	 
91578892	1.58	4586.16	4928.65
91578898	1.58	4190.87	4783.09
91578917	1.55	7684.24	 
91578999	1.58	7688.24	 
91579175	1.1	7117.68	7795.73
91579230	1.07	4274.8	4618.22
91579234	1.07	3279.6	3530.07
91579235	1.07	3579.82	 
91579237	1.07	3702.46	4169.47
91579241	1.09	3449.08	3758.32
91579242	1.09	2560.99	2759.92
91579243	1.09	2739.74	3126.9
91579246	1.09	3292.19	 
91579258	1.02	10539.55	10948.48
91579272	1.1	3312.36	 
91579296	1.08	4712.79	 
91579335	1.07	4177.62	4776.32
91579339	1.07	4988.53	5582.1
91579932	1.07	3919.3	 
91579936	1.07	3919.3	 
91579939	1.07	3648.85	4083.01
91579940	1.09	2739.74	 
91579942	1.09	3292.19	 
91579962	1.04	2799.47	3082.5
91579964	1.04	2765.28	2885.55
91579967	1.04	3947.56	 
91579968	1.04	2971.75	3275.53
91579987	1.03	4439.57	4796.47
91579992	1.08	3971.68	4268.28
91579993	1.08	5070.26	 
91579995	1.08	4062.96	4280.81
91579997	1.08	3971.68	4268.28
91608475	3.6	6276.52	 
91608476	3.6	5079.43	5602.94
91614578	3.7	3755.1	 
91614772	3.7	3755.1	 
91614874	3.7	4174.03	4600.72
91614974	3.7	5012.95	5490.49
91614978	3.7	5211.1	5615.88
91619063	3.04	6336.31	6939.93
91619064	3.04	6616.86	7077.43
91619268	3.04	4047.48	4532.54
91619467	3.04	6793.69	7301.03
91619660	3.04	8311.58	8789.35
91619665	3.04	7241.69	7804.2
91619862	3.04	8311.58	8789.35
91646122	3.71	6388.26	 
91676253	3.72	4327.37	4467.72
91676357	3.72	2697.39	2975.4
91676456	3.72	4167.15	 
91676522	3.71	4346.54	4684.16
91676652	3.72	3492.76	3849.8
91676656	3.72	3492.76	3849.8
91676958	3.72	5233.95	5461.58
91678173	3.6	5546.82	6075.22
91678373	3.6	6060.04	6323.6
91678572	3.6	1109.92	1244.66
91678674	3.6	4563.8	4918.3
91710018	2.45	5151.11	5565.21
91710037	2.47	5762.26	6163.35
91710130	2.47	5727.77	6188.22
91710214	2.45	2851.69	3105.98
91710252	2.42	3561.67	3879.27
91710287	2.43	1631.25	1746.72
91710293	2.48	5604.51	6107.01
91710339	2.47	5762.26	6163.35
91710454	2.42	6874.16	7426.77
91710652	2.42	5849.29	6185.52
91710655	2.42	7985.04	8700.99
91710915	2.45	7839.07	8669.47
91710973	2.5	7098.41	7669.05
91710996	2.48	5260.75	5626.94
91710998	2.48	5260.75	5626.94
91711065	2.34	4228.42	4522.74
91711167	2.34	8851.14	9644.75
91711371	2.4	858.3	961.16
91711476	2.4	8041	8761.97
91711865	2.34	5076.94	5485.08
91712211	2.15	6682.25	7281.39
91712217	2.15	4226.66	4520.87
91712273	2.2	2928.56	3173.05
91712274	2.2	7320.18	7976.51
91712314	2.15	6457.07	6976.16
91712371	2.2	3551.19	3886.71
91712372	2.2	3764.23	 
91712375	2.2	1287.64	1395.13
91712842	2.19	5896.64	6307.09
91712901	2.16	20648.18	22308.08
91712902	2.16	20041.83	21436.87
91712905	2.16	22460.29	23751.35
91712908	2.16	20648.18	22308.08
91712909	2.16	20648.18	22308.08
91712918	2.15	4226.66	4520.87
91712946	2.19	8133.68	8601.22
91713006	2.86	7728.16	8238.9
91713031	2.87	5450.38	5763.68
91713039	2.87	6375.74	6947.4
91713106	2.86	659.3	 
91713190	2.88	4501.26	4863.11
91713192	2.88	5752.17	6082.82
91713298	2.88	5752.17	6082.82
91713997	2.88	2815.95	3153.42
91713998	2.88	4931.43	5274.69
91714043	2.69	5010.75	5413.57
91714046	2.69	5010.75	5413.57
91714099	2.68	6015.78	6361.58
91714128	2.61	6126.44	6618.94
91714144	2.69	6300.24	6865.13
91714212	2.65	6383.68	6710.91
91714231	2.67	8481.46	8968.99
91714235	2.67	3383.51	3665.98
91714237	2.67	4790.34	5364.42
91714326	2.61	6609.03	6988.93
91714332	2.67	5897.89	6372.02
91714335	2.67	3383.51	3665.98
91714338	2.67	3897.2	4244.72
91714928	2.61	6609.03	6988.93
91714938	2.67	5856.8	 
91714987	2.63	5748.33	6148.45
91715124	2.21	1501.38	 
91715280	2.23	6091.14	6637.28
91715286	2.23	4746.03	5018.84
91715892	2.28	4881.27	5273.67
91715920	2.21	5869.5	6572.92
91715921	2.21	1393.52	 
91715927	2.21	1393.52	1509.86
91715930	2.27	7427.35	7854.29
91715952	2.22	3486.48	3693.31
91715958	2.22	3486.48	3693.31
91715983	2.23	6091.14	6637.28
91715984	2.23	2588.92	2797.04
91715991	2.28	621.94	 
91716018	2.75	5446.15	5883.97
91716080	2.73	6822.98	7215.18
91716082	2.73	8236.24	8974.72
91716092	2.78	5462.42	5776.41
91716096	2.78	3141.52	3453.87
91716116	2.75	4573.89	4892.27
91716136	2.77	4406.33	4659.61
91716158	2.72	3019.32	3262.04
91716161	2.74	3543.59	3790.25
91716275	2.8	552.7	591.58
91716281	2.73	6125.65	6552.04
91716288	2.73	5926.16	6402.57
91716321	2.71	4543.35	4804.51
91716484	2.73	6125.65	6552.04
91716890	2.78	3156.11	3437.54
91716902	2.76	4660.08	5077.91
91716903	2.76	4660.08	5077.91
91716908	2.76	4294.24	4639.46
91716924	2.71	5562.67	6061.43
91716952	2.72	3019.32	3262.04
91716957	2.72	4439.83	4695.04
91717055	2.92	1053.74	1141.71
91717067	2.94	6556.05	6932.91
91717169	2.94	4264.96	4645.27
91717853	2.92	6842.86	7392.96
91717862	2.94	5853.32	6107.89
91717865	2.94	5853.32	6107.89
91717910	2.95	6097.52	6448.02
91717916	2.95	6546.58	7068.05
91717918	2.95	6097.52	6448.02
91718001	2.56	3382.96	 
91718004	2.56	3746.36	4195.34
91718025	2.51	1203.58	1304.06
91718073	2.6	6716.15	7183.64
91718077	2.6	7523.58	8122.87
91718080	2.53	5184.5	5805.83
91718081	2.53	924.1	1001.25
91718085	2.53	5184.5	5805.83
91718109	2.56	1237.54	1385.86
91718142	2.59	6578.95	7036.89
91718174	2.6	6716.15	7183.64
91718195	2.58	7696.15	8386.2
91718287	2.53	1104.89	1203.41
91718294	2.58	6351.72	6716.83
91718302	2.56	1159.33	 
91718320	2.51	4932.13	5523.21
91718361	2.54	4913	5501.79
91718368	2.54	6578.8	6956.97
91718379	2.6	6987.85	7549.6
91718844	2.59	6578.95	7036.89
91718886	2.53	979.61	1097.01
91718916	2.55	5186.99	5430.63
91718949	2.59	6327.52	6836.19
91718960	2.54	3374.33	3675.22
91718969	2.54	1948.37	 
91719273	2.1	16309.41	17771.73
91719375	2.1	6976.12	7461.7
91719930	2.07	1737.95	 
91719932	2.07	1758.03	1904.79
91719934	2.07	1737.95	1883.04
91719936	2.07	1978.25	2164.42
91719937	2.07	1863.55	2086.88
92316359	4.72	4561.4	4878.9
92316856	4.72	4561.4	4878.9
92374975	4.7	2886.23	3118.25
92374978	4.7	3139.53	3320
92374979	4.7	2886.23	3118.25
92500081	1.43	5029.51	5427.72
92500086	1.43	1211.04	1335.13
92500119	1.45	7512.68	7839.41
92500175	1.5	4657.86	5134.01
92500184	1.43	946.68	1083.3
92500219	1.45	4578.44	5014.6
92500386	1.43	989.15	1091.1
92500618	1.45	5848.69	6317.45
92500914	1.45	6043.03	6494.31
92500970	1.5	5979.36	 
92501253	1.32	8864.04	 
92503208	1.86	4052.41	4466.67
92504085	1.63	7494.12	8260.2
92504100	1.66	1255.9	1368.5
92504229	1.61	7792.03	8893.13
92504284	1.63	7238.04	8260.86
92504321	1.61	1652.68	 
92504421	1.61	7569.44	8343.22
92504722	1.61	7569.44	8343.22
92504827	1.61	7569.44	8343.22
92504901	1.66	6980.19	7827.58
92506022	1.71	4265.35	 
92506287	1.73	5435.64	5611.93
92506687	1.73	5538.19	6065.78
92506844	1.79	2410.69	2511.76
92506942	1.79	2285	 
92506951	1.72	5473.96	5912.68
92506966	1.74	3744.84	4035.72
92506993	1.78	6691.63	 
92506995	1.78	610.35	672.89
92507858	1.92	3855.56	4222.85
92507952	1.92	5541.04	6324.06
92507983	1.93	4344.53	4706.82
92508164	1.54	2776.97	2815.91
92508223	1.51	7090.13	 
92508530	1.57	835.87	 
92508625	1.51	4111.68	4535.46
92508726	1.51	4745.9	5198.01
92508934	1.57	4735.55	4889.13
92540117	1.45	4578.44	5014.6
92540351	1.42	4820.62	 
92540559	1.42	4465.23	4659.42
92540654	1.42	4844.84	5221.16
92543208	1.86	4455.7	4812.81
92544906	1.66	4783.96	 
92546073	1.8	4722.72	5205.5
92546995	1.78	4707.46	5059
92570084	1.43	989.15	1091.1
92570188	1.43	995.27	1113.69
92570236	1.47	4568.04	5003.2
92570284	1.43	4793.92	5288.01
92570396	1.48	7419.65	 
92570411	1.45	4700.05	 
92570629	1.41	1106.19	1162.89
92570676	1.5	7095.43	7404.01
92570678	1.5	7216.6	7985.58
92570698	1.48	7419.65	 
92570722	1.41	1598.76	1732.99
92570975	1.5	5160.68	 
92570978	1.5	5114.21	 
92571001	1.36	2952.51	 
92571017	1.35	2905.14	3122.09
92571019	1.35	2976.35	3259.88
92571052	1.32	8864.04	9708.45
92571208	1.36	2200.18	 
92571270	1.4	1687.81	1823.4
92571271	1.4	6399.99	7317.18
92571311	1.35	2976.35	 
92571476	1.4	1810.63	 
92571664	1.34	4795.79	5153.93
92571801	1.36	2524.15	2699.85
92571867	1.34	9913.42	 
92572061	1.14	3960.83	4338.15
92572101	1.16	10438.5	 
92572104	1.16	10438.5	11550.8
92572106	1.16	5063.31	5283.52
92572108	1.16	5791.42	6343.13
92572119	1.15	5556.44	6085.77
92572162	1.14	4255.56	4440.63
92572168	1.14	4714.91	5043.1
92572169	1.14	5148.76	5444.72
92572203	1.16	6692.61	7212.46
92572209	1.16	5114.21	 
92572217	1.15	5556.44	6085.77
92572219	1.15	4774.49	5145.36
92572223	1.11	2073.79	 
92572226	1.11	1183.3	1305.26
92572260	1.14	4714.91	 
92572267	1.14	7566.71	 
92572283	1.13	947.85	1038.14
92572290	1.18	3383.84	3862.02
92572292	1.18	2165.21	 
92572298	1.18	4196.33	4643.48
92572300	1.16	5114.21	5496.13
92572314	1.15	3977.48	4274.52
92572317	1.15	4774.49	5145.36
92572321	1.11	1414.5	1520.13
92572323	1.11	2599.93	2713
92572324	1.11	5132.14	5592.29
92572345	1.19	4566.63	5001.66
92572348	1.19	5366.55	 
92572382	1.13	947.85	1038.14
92572383	1.13	627.12	 
92572390	1.18	3041.84	3269
92572397	1.18	2221.45	2381.67
92572408	1.16	4743.75	5228.67
92572444	1.19	5587.29	 
92572468	1.14	5029.05	5404.61
92572648	1.19	6221.81	6492.4
92572665	1.14	4714.91	5043.1
92572669	1.14	5148.76	5444.72
92572802	1.16	6692.61	7212.46
92572803	1.16	4975.79	5678.92
92572842	1.19	4566.63	5001.66
92572864	1.14	4213.78	 
92572906	1.16	6314.48	 
92572916	1.15	4632.82	4834.31
92572918	1.15	4882.98	5382.14
92572919	1.15	4984.02	5688.32
92572924	1.11	1426.7	1562.62
92572963	1.14	4726.28	5067.17
92572983	1.13	1693.44	1829.58
92572986	1.13	1547.65	1766.35
92572989	1.13	2238.84	 
92573010	1.85	3921.69	4147.12
92573096	1.88	4258.75	4775.76
92573118	1.85	1935.4	 
92573136	1.87	5148.54	5548.46
92573232	1.87	835.44	902.56
92573311	1.85	2677.63	 
92573316	1.85	2849.75	3252.45
92573497	1.88	4634.3	4980.38
92573531	1.87	4278.52	4686.1
92573690	1.88	10545.45	 
92573691	1.88	5489.22	 
92573697	1.88	5931.97	6392.74
92573816	1.85	2720.83	2839.16
92573818	1.85	2820.51	3039.6
92573831	1.87	4833.98	 
92573916	1.85	2181.65	2344.57
92573917	1.85	3921.69	4147.12
92573942	1.89	3614.26	 
92573943	1.89	3766.61	4104.33
92573945	1.89	2816.98	3043.43
92573946	1.89	2796.77	 
92573958	1.82	3424.54	 
92573959	1.82	5288.73	 
92574010	1.65	3041.46	 
92574018	1.65	5592.26	6026.64
92574200	1.66	654.69	704.69
92574302	1.66	6980.19	7827.58
92574314	1.65	2859.31	3151.6
92574614	1.65	3147.72	3388.13
92574633	1.67	1636.62	1835.31
92574701	1.66	894.71	1003.32
92574703	1.66	4684.15	5041.9
92574739	1.67	4625.87	5187.44
92574794	1.68	1332.29	 
92574808	1.66	5157.6	5689.17
92574810	1.65	1626.28	1756.93
92575023	1.21	5816.64	6287.62
92575033	1.27	3234.69	3485.95
92575095	1.28	3713.86	4067.65
92575121	1.21	5566.85	6242.66
92575180	1.23	6078.78	6937.78
92575201	1.26	3006.44	3313.77
92575213	1.25	5611.98	 
92575217	1.25	5611.98	 
92575222	1.21	2974.96	 
92575231	1.27	2410.65	 
92575237	1.27	3916.79	4470.27
92575240	1.29	922.18	992.61
92575244	1.29	939.42	1011.17
92575246	1.29	2300.05	 
92575248	1.29	1471.24	1546.66
92575249	1.29	981.94	1099.62
92575263	1.24	5053.43	 
92575292	1.28	4436.47	 
92575297	1.28	3357.82	 
92575324	1.21	2974.96	3279.78
92575326	1.21	2213.55	2441.69
92575351	1.22	6912.76	 
92575373	1.3	843.79	908.23
92575381	1.23	4107.42	4528.28
92575400	1.26	3229.61	3686
92575407	1.26	3229.61	3686
92575421	1.21	4869.04	5240.91
92575434	1.27	4451.28	 
92575526	1.21	2154.21	2327.28
92575771	1.3	5479.5	 
92575807	1.26	3178.38	3388.43
92575868	1.24	4523.77	5163.03
92575900	1.26	2513.61	2701.32
92575935	1.27	3451	3803.78
92575941	1.29	1434.11	1541.21
92575944	1.29	921.62	1003.8
92575951	1.22	6172.2	 
92575959	1.22	2671.98	2996.36
92575971	1.3	1294.23	1394.76
92575974	1.3	5479.5	 
92575990	1.28	1991.61	2195.68
92575995	1.28	3700.68	3861.63
92575999	1.28	2404.98	2588.65
92576033	1.77	3986.88	4550.27
92576037	1.77	3937.23	4108.47
92576040	1.79	2132.98	 
92576182	1.73	10527	 
92576248	1.79	2381.94	2573.42
92576288	1.73	10527	 
92576312	1.75	4558.34	4898.74
92576328	1.71	2934.5	 
92576472	1.8	669.53	 
92576493	1.78	4219.7	4721.79
92576499	1.78	467.81	523.47
92576504	1.76	4091.55	4409.37
92576516	1.75	4558.34	4898.74
92576531	1.77	3390.16	 
92576533	1.77	3937.23	4108.47
92576555	1.72	5197.52	5828.49
92576556	1.72	4162.1	4657.34
92576606	1.76	3325.68	 
92576611	1.75	3394.95	3741.99
92576693	1.78	476.31	525.4
92576694	1.78	5950.99	 
92576937	1.77	3933.64	 
92576950	1.72	5655.84	6078.21
92576984	1.73	4996.07	5384.15
92577013	1.95	10562.63	 
92577065	1.94	5584.77	 
92577112	1.95	6171.52	 
92577127	1.91	1725.35	1800.38
92577129	1.91	2047.01	2242.01
92577161	1.94	4787.88	5062.48
92577217	1.95	6259.03	6531.24
92577326	1.91	1268.81	 
92577368	1.94	5584.77	6001.83
92577514	1.95	6282.32	7118.31
92577581	1.93	4819.33	5404.38
92577787	1.93	4714.71	 
92577864	1.94	7349	 
92577917	1.95	5410.31	5814.34
92577918	1.95	5299.77	5841.53
92577920	1.91	959.88	1026.69
92577927	1.91	1948.16	2099.48
92577929	1.91	1725.35	1800.38
92577982	1.93	5707.31	6165.81
92578034	1.57	4018.22	4428.98
92578067	1.54	5370.68	6129.62
92578161	1.54	3540.88	3970.74
92578280	1.53	1424.21	1538.63
92578283	1.53	1217.67	1211.49
92578310	1.55	6530.92	7055.59
92578411	1.55	4476.77	 
92578428	1.51	994.14	 
92578515	1.55	4250.69	4766.72
92578517	1.55	2494.91	 
92578562	1.54	5370.68	6129.62
92578580	1.53	4763.96	5252.09
92578615	1.55	4222.67	4624.93
92578684	1.53	1006.24	1093.17
92578722	1.51	1466.05	 
92578783	1.53	1424.21	1538.63
92578846	1.59	5895.91	 
92578860	1.54	3533.27	3894.46
92578899	1.58	3729.24	3891.42
92578907	1.56	3387.01	3539.02
92578930	1.57	4824.73	5199.5
92578935	1.57	3720.7	4075.14
92578969	1.54	3540.88	3970.74
92578995	1.58	4427.93	 
92579171	1.1	3312.36	 
92579175	1.1	9615.53	10333.6
92579179	1.1	9008.39	9400.17
92579232	1.07	3318.52	 
92579235	1.07	3919.3	 
92579238	1.07	4274.8	4618.22
92579261	1.04	3389.34	3693.23
92579267	1.04	3947.56	 
92579268	1.04	2743.42	2948.3
92579291	1.08	3004.48	3237.86
92579292	1.08	4003.32	4177.43
92579297	1.08	4302.23	4742.02
92579335	1.07	2854.85	3072.89
92579376	1.1	7117.68	7795.73
92579934	1.07	3459.81	3816.39
92579935	1.07	3579.82	 
92579937	1.07	5915.45	6633.58
92579942	1.09	2490.6	2663.96
92579943	1.09	3292.19	 
92579949	1.09	3013.27	 
92579960	1.04	2692.29	3072.74
92579962	1.04	3502.26	 
92579963	1.04	3389.34	3693.23
92579965	1.04	2655.2	2868
92579968	1.04	3389.34	3693.23
92579970	1.1	9008.39	9400.17
92579979	1.1	9615.53	 
92579982	1.03	4461.92	4795.13
92579984	1.03	4452.69	4687.41
92579985	1.03	4309.2	4609.15
92579987	1.03	4653.92	5311.57
92579991	1.08	3835.74	4102.73
92579992	1.08	4712.79	 
92579993	1.08	3214.19	3668.39
92579994	1.08	3971.68	4268.28
92579996	1.08	4046.36	4409.16
92579998	1.08	4302.23	 
92606325	3.71	4481.38	4908.29
92608078	3.6	5700.19	6125.87
92608972	3.6	5546.82	6075.22
92614170	3.7	6831.18	 
92614372	3.7	4067.41	4371.16
92614975	3.7	5829.67	 
92619165	3.04	8723.74	9300.29
92619168	3.04	8311.58	8789.35
92619265	3.04	5191.09	5416.85
92619366	3.04	7241.69	7804.2
92619368	3.04	6507.18	7030.29
92619869	3.04	5191.09	5416.85
92624977	3.7	5829.67	6653.47
92676153	3.72	3323.29	3639.88
92676351	3.72	3323.29	3639.88
92676356	3.72	3492.76	3849.8
92676421	3.71	468.23	503.99
92676556	3.72	3492.76	3849.8
92678179	3.6	5700.19	6125.87
92678476	3.6	6127.95	6747.5
92710091	2.48	5075.79	5483.83
92710098	2.48	5660.74	5986.13
92710111	2.45	8274.96	9016.91
92710191	2.48	5260.75	5626.94
92710199	2.48	5604.51	6107.01
92710210	2.45	8274.96	9016.91
92710291	2.48	5260.75	5626.94
92710357	2.42	5849.29	6185.52
92710398	2.48	5604.51	6107.01
92710581	2.43	5796.83	6262.53
92710916	2.45	5597.98	 
92710936	2.47	5762.26	6163.35
92710999	2.48	5075.79	5483.83
92711067	2.34	8851.14	9644.75
92711974	2.4	5814.38	6148.61
92712044	2.19	7516.18	8114.87
92712148	2.19	12199.3	13293.1
92712217	2.15	4226.66	4520.87
92712242	2.19	6980.97	7542.17
92712276	2.2	3198.56	3533.66
92712346	2.19	6980.97	7542.17
92712374	2.2	8137.78	8605.55
92712391	2.18	3048.41	3293.47
92712919	2.15	6724.27	7110.8
92712993	2.18	4159.25	4398.33
92712996	2.18	3550.66	3797.81
92712998	2.18	3550.66	3797.81
92713132	2.87	6375.74	6947.4
92713191	2.88	5095.64	5364.25
92713198	2.88	5752.17	6082.82
92713293	2.88	4931.43	5274.69
92713391	2.88	4501.26	4863.11
92713399	2.88	5868.44	6394.61
92713701	2.86	5491.27	5879.97
92713936	2.87	6375.74	 
92714112	2.65	11979.4	13415.05
92714124	2.61	6126.44	6618.94
92714199	2.68	7112.41	7684.17
92714330	2.67	5897.89	6372.02
92714687	2.63	6483.27	6855.95
92714880	2.63	7981.49	8697.12
92714895	2.68	1203.23	 
92714917	2.65	10066.94	10907.37
92714927	2.61	8326.55	9073.11
92714932	2.67	2572.5	 
92714942	2.69	6300.24	 
92715121	2.21	1501.38	1681.31
92715259	2.22	3486.48	3693.31
92715321	2.21	1501.38	1681.31
92715357	2.22	3238.21	3432.65
92715399	2.28	4479.02	4790.79
92715896	2.28	5560.24	6058.78
92715931	2.27	7865.71	8413.22
92715935	2.27	8103.69	8755.14
92715936	2.27	7795.66	8310.87
92715953	2.22	1768.69	 
92715956	2.22	2202.56	2440.46
92715980	2.23	4746.03	 
92715984	2.23	4327.76	4629
92715998	2.28	4881.27	5273.67
92716167	2.74	3591.6	3880.33
92716288	2.73	6822.98	7215.18
92716313	2.75	4999.78	5287.18
92716332	2.77	4406.33	4659.61
92716333	2.77	5553.55	6000
92716353	2.72	3547.63	3794.57
92716360	2.74	3591.6	3880.33
92716390	2.78	4365.7	4589.49
92716883	2.73	5926.16	6402.57
92716897	2.78	3707.81	3990.99
92716901	2.76	4168.14	4458.27
92716902	2.76	4168.14	4458.27
92716903	2.76	4192.02	4432.99
92716909	2.76	4660.08	5077.91
92716936	2.77	4406.33	4659.61
92716971	2.8	595.08	636.5
92716976	2.8	552.7	591.58
92716985	2.73	6125.65	6552.04
92717166	2.94	1648.1	1795.07
92717265	2.94	5853.32	6107.89
92717368	2.94	6448.63	6967.03
92717862	2.94	1362.42	1525.7
92717866	2.94	3431.78	3843.06
92717911	2.95	6778.33	7386.08
92717912	2.95	6080.42	6569.22
92717915	2.95	6080.42	6569.22
92717916	2.95	6097.52	6448.02
92717917	2.95	6778.33	 
92717918	2.95	6778.33	7386.08
92718027	2.51	5384.55	5864.7
92718100	2.56	1382.3	1505.56
92718115	2.55	3904.09	4371.97
92718126	2.51	6304.28	6627.44
92718190	2.58	7696.15	8386.2
92718265	2.54	3374.33	3675.22
92718269	2.54	5257.94	5527.47
92718307	2.56	1237.54	1385.86
92718324	2.51	1310.45	 
92718344	2.59	6578.95	7036.89
92718370	2.6	7113.99	7495.44
92718374	2.6	6939.78	7305.61
92718390	2.58	3907.88	4222.03
92718922	2.51	10278.57	11200.15
92718925	2.51	4133.53	4478.61
92718978	2.6	6995.57	7516.39
92719277	2.1	12428.88	 
92719934	2.07	2761.65	2890.13
92719936	2.07	2792.14	 
92719971	2.1	6976.12	7461.7
92719975	2.1	10445.47	11045.9
92719979	2.1	12428.88	13428.04
93316052	4.72	4561.4	4878.9
93316251	4.72	4561.4	4878.9
93316956	4.72	4804.67	5080.86
93374973	4.7	3490.07	3802.99
93374975	4.7	2801.47	2996.47
93374978	4.7	2801.47	2996.47
93500378	1.5	887.75	979.24
93500385	1.43	8348.29	8996.75
93500514	1.45	6043.03	6494.31
93500517	1.45	7512.68	7839.41
93500815	1.45	5989.51	 
93500915	1.45	5002.79	5514.19
93500972	1.5	5979.36	6425.89
93500977	1.5	7216.6	 
93503030	1.87	4278.52	4686.1
93503136	1.87	5148.54	5548.46
93503201	1.86	3661.83	4010.67
93503507	1.86	6689.27	6980.19
93504001	1.66	791.4	872.97
93504281	1.63	7229.77	7769.68
93504404	1.66	791.4	872.97
93504600	1.66	4834.91	5330.3
93504605	1.66	1413.88	1527.54
93504823	1.61	6942.2	7244.12
93504990	1.68	6022.69	 
93506053	1.72	1130.7	1221.54
93506129	1.71	3802.96	4165.24
93506147	1.79	2132.98	2336.18
93506150	1.72	5655.84	6078.21
93506226	1.71	5005.06	 
93506242	1.79	2083.79	2296.81
93506265	1.74	3397.08	3744.34
93506273	1.8	5038.03	 
93506290	1.78	4707.46	5059
93506340	1.79	2285	 
93506345	1.79	1879.27	2019.61
93506487	1.73	5469.14	6241.99
93506573	1.8	4371.65	4698.12
93506722	1.71	5005.06	5712.33
93506930	1.77	4019.44	4331.65
93507256	1.92	5541.04	6324.06
93507312	1.95	5410.31	5814.34
93508287	1.53	4105.65	4419.22
93508463	1.54	4401.57	4959.27
93508623	1.51	4694.54	 
93508767	1.54	3729.21	4028.1
93508961	1.54	4378.74	4911.38
93540151	1.42	5192.89	5926.7
93540315	1.45	4578.44	5014.6
93540958	1.42	5192.89	5926.7
93544206	1.66	654.69	704.69
93544901	1.66	5157.6	5689.17
93544923	1.61	6787.48	7331.47
93546224	1.71	5005.06	5712.33
93546993	1.78	525.08	 
93548877	1.6	21769.19	22475.2
93570097	1.48	4990.14	5362.79
93570194	1.48	6255.64	 
93570223	1.41	1863.42	2055.47
93570226	1.41	1611.82	1734.92
93570292	1.48	5010.2	5718.2
93570295	1.48	4371.1	4710.63
93570335	1.47	4400.18	4934.36
93570384	1.43	989.15	1091.1
93570396	1.48	5010.2	 
93570426	1.41	4623.71	5116.4
93570432	1.47	4610.4	5081.7
93570513	1.45	5400.61	 
93570521	1.41	809.04	905.31
93570581	1.43	1320.96	 
93570695	1.48	4758.01	4964.94
93570696	1.48	4327.28	 
93570721	1.41	2480.21	2588.07
93570787	1.43	5469.73	5990.79
93570929	1.41	2208.16	2418.52
93570939	1.47	4568.04	5003.2
93571010	1.35	2905.14	3122.09
93571016	1.35	3370.4	3641.35
93571060	1.34	6499.07	6709.85
93571066	1.34	4844.49	5305.98
93571114	1.35	3220.31	3444.47
93571153	1.32	15914.48	 
93571205	1.36	2524.15	2699.85
93571216	1.35	2905.14	3122.09
93571301	1.36	2654.25	2806.82
93571452	1.32	8864.04	9708.45
93571469	1.34	4795.79	 
93571474	1.4	4137.84	4561.82
93571475	1.4	1981.06	 
93571506	1.36	3063.04	3495.89
93571707	1.36	2200.18	2295.87
93571769	1.34	4795.79	 
93571806	1.36	2215.42	2387.5
