AID	CLUSTER2	GSWGT3_2	GSWGT3
90571004	1.36	3485.3	3797.8
90571069	1.34	5057.1	5277.04
90571074	1.4	7809.53	 
90571103	1.36	2654.25	2806.82
90571107	1.36	2524.15	2699.85
90571171	1.4	449.54	496.64
90571210	1.35	5681	6190.37
90571211	1.35	3876.26	 
90571217	1.35	3220.31	3444.47
90571276	1.4	2290.45	2461.5
90571315	1.35	3876.26	4424.02
90571319	1.35	2976.35	3259.88
90571401	1.36	2200.44	2377.33
90571402	1.36	2952.51	 
90571418	1.35	3086.4	3401.91
90571461	1.34	4844.49	5305.98
90571472	1.4	2096.74	2164.74
90571506	1.36	1680.01	 
90571805	1.36	2524.15	2699.85
90571807	1.36	3485.3	3797.8
90571816	1.35	3220.31	3444.47
90571861	1.34	6499.07	 
90571913	1.35	3280.78	 
90571914	1.35	3370.4	3641.35
90572007	1.16	5063.31	5283.52
90572049	1.19	7308.81	8341.63
90572070	1.2	5770.86	6586.35
90572147	1.19	7308.81	8341.63
90572169	1.14	5148.76	5444.72
90572172	1.2	3953.51	4330.13
90572177	1.2	5035.17	 
90572192	1.18	3041.84	 
90572198	1.18	2066.36	2277.59
90572213	1.15	3977.48	4274.52
90572221	1.11	2504.49	2678.82
90572265	1.14	5029.05	5404.61
90572268	1.14	4213.78	4552.53
90572269	1.14	4255.56	4440.63
90572280	1.13	964.98	1006.95
90572282	1.13	800.88	883.42
90572283	1.13	964.98	1006.95
90572285	1.13	800.88	883.42
90572303	1.16	5063.31	5283.52
90572323	1.11	2073.79	 
90572325	1.11	2504.49	2678.82
90572341	1.19	6207.98	6869.49
90572369	1.14	3960.83	4338.15
90572383	1.13	956.94	1054.99
90572384	1.13	1593.76	1671.97
90572389	1.13	1162.11	1265.74
90572393	1.18	2165.21	2371.47
90572448	1.19	5557.34	 
90572469	1.14	4213.78	4552.53
90572862	1.14	5181.69	5584.18
90572900	1.16	5114.21	5496.13
90572909	1.16	6692.61	7212.46
90572920	1.11	2888.9	3121.14
90572922	1.11	1626.44	 
90572925	1.11	2504.49	2678.82
90572974	1.2	4255.93	4690.99
90572983	1.13	1222.16	 
90572984	1.13	1037.03	 
90572986	1.13	1547.65	1766.35
90572991	1.18	2066.36	2277.59
90572998	1.18	2165.21	2371.47
90573011	1.85	2002.72	2207.45
90573117	1.85	1935.4	 
90573194	1.88	5489.22	 
90573212	1.85	3921.69	4147.12
90573222	1.81	4730.41	 
90573491	1.88	4634.3	4980.38
90573618	1.85	2856.92	3055.78
90573818	1.85	4359.56	4750.45
90573897	1.88	5515.45	6040.87
90573940	1.89	2816.98	3043.43
90573941	1.89	2734.25	2924.58
90573945	1.89	3279.11	3523.24
90573946	1.89	3066.78	3380.28
90573954	1.82	3307.33	3537.54
90573956	1.82	3407.39	3681.31
90573959	1.82	3638.48	3985.09
90573992	1.88	5931.97	 
90574133	1.67	5855.01	6309.8
90574197	1.68	8907.86	 
90574204	1.66	4684.15	5041.9
90574205	1.66	6678.4	7361.09
90574307	1.66	791.4	 
90574335	1.67	5033.79	5409.7
90574392	1.68	5633.78	6064.05
90574415	1.65	9611.22	10598.86
90574489	1.63	6637.12	6925.77
90574494	1.68	6080.38	 
90574503	1.66	7595.71	8162.95
90574538	1.67	4111.97	3958.45
90574697	1.68	5881.62	6441.92
90574744	1.69	7390.58	7677.33
90574805	1.66	748.45	837.51
90574835	1.67	3778.13	4167.52
90574884	1.63	8851.39	 
90574890	1.68	5169.07	5701.82
90574918	1.65	1626.28	1756.93
90574935	1.67	1636.62	 
90574992	1.68	6022.69	 
90575009	1.26	3536.54	3690.34
90575027	1.21	1992.84	 
90575039	1.27	3030.37	 
90575111	1.25	4726.45	4932.01
90575118	1.25	5792.87	 
90575126	1.21	1533.81	 
90575131	1.27	3135.63	3369.79
90575158	1.22	3538.02	3875.07
90575167	1.24	4334.86	4523.38
90575207	1.26	4011.84	4371.54
90575210	1.25	3334.12	3651.74
90575216	1.25	4654.61	5002.21
90575229	1.21	2121.6	2230.35
90575247	1.29	1742.18	1930.48
90575250	1.22	2907.6	3124.74
90575263	1.24	4235.01	4667.93
90575266	1.24	3793.51	4098.27
90575288	1.23	7228.84	 
90575333	1.27	3916.79	4470.27
90575354	1.22	5861.54	6116.46
90575378	1.3	5162.26	5689.97
90575390	1.28	3532.63	3816.42
90575623	1.21	2428.95	 
90575834	1.27	3284.51	3548.38
90575871	1.3	4466.04	4891.48
90575873	1.3	1180.17	1301.81
90575919	1.25	3680.27	3966.14
90575931	1.27	3030.37	3319.05
90575940	1.29	1477.28	1594.42
90575942	1.29	831.33	900.74
90575944	1.29	831.33	900.74
90575946	1.29	1445.54	1508.41
90575948	1.29	1553.47	 
90575950	1.22	5861.54	6116.46
90575966	1.24	6622.42	 
90575975	1.3	5479.5	 
90575978	1.3	4477.41	4811.77
90575982	1.23	2926.45	3149.95
90575991	1.28	1322.29	1423.27
90575994	1.28	1895.59	2037.15
90576026	1.71	5005.06	5712.33
90576057	1.72	5972.38	 
90576117	1.75	3588.45	 
90576119	1.75	4558.34	4898.74
90576142	1.79	1984.07	2234.08
90576148	1.79	2381.94	2573.42
90576245	1.79	2083.79	2296.81
90576248	1.79	2650.2	3024.7
90576285	1.73	4532.01	4870.45
90576320	1.71	2934.5	3029.67
90576336	1.77	3986.88	4550.27
90576412	1.75	4860.12	5071.49
90576445	1.79	2198.35	2293.96
90576481	1.73	3881.93	4278.75
90576485	1.73	10527	 
90576522	1.71	2934.5	 
90576531	1.77	5203.02	 
90576561	1.74	4399.86	4591.21
90576687	1.73	3978.68	4151.72
90576754	1.72	933.11	 
90576758	1.72	4844.94	5221.28
90576759	1.72	5655.84	6078.21
90576811	1.75	4860.12	5071.49
90576837	1.77	4274.36	4681.55
90576844	1.79	2650.2	3024.7
90576919	1.75	4287.82	4620.88
90576925	1.71	2673.08	2946.33
90576928	1.71	3687.15	3962.51
90576942	1.79	2240.19	2401.77
